SRforSCF_03.csv, ñ@ê¸ñ íºíBì˙éÀó , êÖïΩñ ìVãÛì˙éÀó , ígñ[1_ó‚ñ[2
11120, 0, 0, 1
11121, 0, 0, 1
11122, 0, 0, 1
11123, 0, 0, 1
11124, 0, 0, 1
11201, 0, 0, 1
11202, 0, 0, 1
11203, 0, 0, 1
11204, 0, 0, 1
11205, 0, 0, 1
11206, 0, 0, 1
11207, 2, 2, 1
11208, 48, 38, 1
11209, 86, 86, 1
11210, 165, 131, 1
11211, 339, 143, 1
11212, 308, 151, 1
11213, 91, 134, 1
11214, 208, 112, 1
11215, 349, 62, 1
11216, 72, 19, 1
11217, 0, 0, 1
11218, 0, 0, 1
11219, 0, 0, 1
11220, 0, 0, 1
11221, 0, 0, 1
11222, 0, 0, 1
11223, 0, 0, 1
11224, 0, 0, 1
11301, 0, 0, 1
11302, 0, 0, 1
11303, 0, 0, 1
11304, 0, 0, 1
11305, 0, 0, 1
11306, 0, 0, 1
11307, 10, 7, 1
11308, 189, 48, 1
11309, 198, 96, 1
11310, 418, 110, 1
11311, 492, 115, 1
11312, 552, 105, 1
11313, 540, 98, 1
11314, 413, 96, 1
11315, 191, 69, 1
11316, 50, 17, 1
11317, 0, 0, 1
11318, 0, 0, 1
11319, 0, 0, 1
11320, 0, 0, 1
11321, 0, 0, 1
11322, 0, 0, 1
11323, 0, 0, 1
11324, 0, 0, 1
11401, 0, 0, 1
11402, 0, 0, 1
11403, 0, 0, 1
11404, 0, 0, 1
11405, 0, 0, 1
11406, 0, 0, 1
11407, 2, 2, 1
11408, 12, 24, 1
11409, 31, 67, 1
11410, 45, 108, 1
11411, 53, 131, 1
11412, 86, 148, 1
11413, 105, 139, 1
11414, 165, 115, 1
11415, 60, 60, 1
11416, 12, 12, 1
11417, 0, 0, 1
11418, 0, 0, 1
11419, 0, 0, 1
11420, 0, 0, 1
11421, 0, 0, 1
11422, 0, 0, 1
11423, 0, 0, 1
11424, 0, 0, 1
11501, 0, 0, 1
11502, 0, 0, 1
11503, 0, 0, 1
11504, 0, 0, 1
11505, 0, 0, 1
11506, 0, 0, 1
11507, 10, 7, 1
11508, 256, 48, 1
11509, 449, 76, 1
11510, 327, 124, 1
11511, 487, 117, 1
11512, 327, 151, 1
11513, 349, 136, 1
11514, 172, 117, 1
11515, 67, 62, 1
11516, 105, 22, 1
11517, 0, 0, 1
11518, 0, 0, 1
11519, 0, 0, 1
11520, 0, 0, 1
11521, 0, 0, 1
11522, 0, 0, 1
11523, 0, 0, 1
11524, 0, 0, 1
11601, 0, 0, 1
11602, 0, 0, 1
11603, 0, 0, 1
11604, 0, 0, 1
11605, 0, 0, 1
11606, 0, 0, 1
11607, 2, 2, 1
11608, 7, 22, 1
11609, 26, 65, 1
11610, 41, 105, 1
11611, 22, 100, 1
11612, 7, 79, 1
11613, 5, 65, 1
11614, 2, 45, 1
11615, 2, 22, 1
11616, 0, 5, 1
11617, 0, 0, 1
11618, 0, 0, 1
11619, 0, 0, 1
11620, 0, 0, 1
11621, 0, 0, 1
11622, 0, 0, 1
11623, 0, 0, 1
11624, 0, 0, 1
11701, 0, 0, 1
11702, 0, 0, 1
11703, 0, 0, 1
11704, 0, 0, 1
11705, 0, 0, 1
11706, 0, 0, 1
11707, 0, 0, 1
11708, 2, 14, 1
11709, 5, 41, 1
11710, 5, 45, 1
11711, 31, 115, 1
11712, 29, 115, 1
11713, 24, 98, 1
11714, 38, 91, 1
11715, 76, 67, 1
11716, 55, 22, 1
11717, 0, 0, 1
11718, 0, 0, 1
11719, 0, 0, 1
11720, 0, 0, 1
11721, 0, 0, 1
11722, 0, 0, 1
11723, 0, 0, 1
11724, 0, 0, 1
11801, 0, 0, 1
11802, 0, 0, 1
11803, 0, 0, 1
11804, 0, 0, 1
11805, 0, 0, 1
11806, 0, 0, 1
11807, 2, 5, 1
11808, 19, 31, 1
11809, 53, 81, 1
11810, 148, 136, 1
11811, 805, 48, 1
11812, 153, 165, 1
11813, 327, 141, 1
11814, 143, 119, 1
11815, 124, 74, 1
11816, 153, 26, 1
11817, 0, 0, 1
11818, 0, 0, 1
11819, 0, 0, 1
11820, 0, 0, 1
11821, 0, 0, 1
11822, 0, 0, 1
11823, 0, 0, 1
11824, 0, 0, 1
11901, 0, 0, 1
11902, 0, 0, 1
11903, 0, 0, 1
11904, 0, 0, 1
11905, 0, 0, 1
11906, 0, 0, 1
11907, 10, 7, 1
11908, 232, 50, 1
11909, 471, 76, 1
11910, 110, 134, 1
11911, 344, 148, 1
11912, 325, 155, 1
11913, 265, 151, 1
11914, 366, 108, 1
11915, 100, 72, 1
