etajdt_case, Azwjdt, cosh, 1, cosÉ∆, cos2É∆, cos3É∆, cos4É∆, cos5É∆, cos6É∆, cos7É∆, etajdtA
59, -15.9681074768897, 0.341665799182358, 1, 0, 0, 0, 0, 0, 0, 0, 1
60, 7.60249599586092, 0.23641266566412, 1, 0, 0, 0, 0, 0, 0, 0, 1
61, 37.9233687280915, 0.1955554299612, 1, 0, 0, 0, 0, 0, 0, 0, 1
62, 71.5927172969924, 0.214035015451868, 1, 0, 0, 0, 0, 0, 0, 0, 1
63, 100.451279546963, 0.3069066456076, 1, 0, 0, 0, 0, 0, 0, 0, 1
64, 130.381334634255, 0.633465372381997, 1, 0, 0, 0, 0, 0, 0, 0, 1
65, 146.517560252221, 0.897630356782054, 1, 0, 0, 0, 0, 0, 0, 0, 1
66, 161.727443852039, 0.998734860018288, 1, 0, 0, 0, 0, 0, 0, 0, 1
67, -95.9036061099088, 0.999927965194223, 1, 0, 0, 0, 0, 0, 0, 0, 1
68, -80.4850756435332, 0.915435031932259, 1, 0, 0, 0, 0, 0, 0, 0, 1
69, -64.7785046932522, 0.666230676096435, 1, 0, 0, 0, 0, 0, 0, 0, 1
70, -38.4681074768897, 0.341665799182358, 1, 0, 0, 0, 0, 0, 0, 0, 1
71, -14.8975040041391, 0.23641266566412, 1, 0, 0, 0, 0, 0, 0, 0, 1
72, 15.4233687280915, 0.1955554299612, 1, 0, 0, 0, 0, 0, 0, 0, 1
73, 49.0927172969924, 0.214035015451868, 1, 0, 0, 0, 0, 0, 0, 0, 1
74, 77.9512795469625, 0.3069066456076, 1, 0, 0, 0, 0, 0, 0, 0, 1
75, 107.881334634255, 0.633465372381997, 1, 0, 0, 0, 0, 0, 0, 0, 1
76, 124.017560252221, 0.897630356782054, 1, 0, 0, 0, 0, 0, 0, 0, 1
77, 139.227443852039, 0.998734860018288, 1, 0, 0, 0, 0, 0, 0, 0, 1
78, -118.403606109909, 0.999927965194223, 1, 0, 0, 0, 0, 0, 0, 0, 1
79, -102.985075643533, 0.915435031932259, 1, 0, 0, 0, 0, 0, 0, 0, 1
80, -87.2785046932522, 0.666230676096435, 1, 0, 0, 0, 0, 0, 0, 0, 1
81, -60.9681074768897, 0.341665799182358, 1, 0, 0, 0, 0, 0, 0, 0, 1
82, -37.3975040041391, 0.23641266566412, 1, 0, 0, 0, 0, 0, 0, 0, 1
83, -7.07663127190847, 0.1955554299612, 1, 0, 0, 0, 0, 0, 0, 0, 1
84, 26.5927172969924, 0.214035015451868, 1, 0, 0, 0, 0, 0, 0, 0, 1
85, 55.4512795469625, 0.3069066456076, 1, 0, 0, 0, 0, 0, 0, 0, 1
86, 85.3813346342555, 0.633465372381997, 1, 0, 0, 0, 0, 0, 0, 0, 1
87, 101.517560252221, 0.897630356782054, 1, 0, 0, 0, 0, 0, 0, 0, 1
88, 116.727443852039, 0.998734860018288, 1, 0, 0, 0, 0, 0, 0, 0, 1
89, -140.903606109909, 0.999927965194223, 1, 0, 0, 0, 0, 0, 0, 0, 1
90, -125.485075643533, 0.915435031932259, 1, 0, 0, 0, 0, 0, 0, 0, 1
91, -109.778504693252, 0.666230676096435, 1, 0, 0, 0, 0, 0, 0, 0, 1
92, -83.4681074768897, 0.341665799182358, 1, 0, 0, 0, 0, 0, 0, 0, 1
93, -59.8975040041391, 0.23641266566412, 1, 0, 0, 0, 0, 0, 0, 0, 1
94, -29.5766312719085, 0.1955554299612, 1, 0, 0, 0, 0, 0, 0, 0, 1
95, 4.09271729699242, 0.214035015451868, 1, 0, 0, 0, 0, 0, 0, 0, 1
96, 32.9512795469625, 0.3069066456076, 1, 0, 0, 0, 0, 0, 0, 0, 1
97, 62.8813346342555, 0.633465372381997, 1, 0, 0, 0, 0, 0, 0, 0, 1
98, 79.017560252221, 0.897630356782054, 1, 0, 0, 0, 0, 0, 0, 0, 1
99, 94.2274438520394, 0.998734860018288, 1, 0, 0, 0, 0, 0, 0, 0, 1
100, -163.403606109909, 0.999927965194223, 1, 0, 0, 0, 0, 0, 0, 0, 1
101, -147.985075643533, 0.915435031932259, 1, 0, 0, 0, 0, 0, 0, 0, 1
102, -132.278504693252, 0.666230676096435, 1, 0, 0, 0, 0, 0, 0, 0, 1
103, -105.96810747689, 0.341665799182358, 1, 0, 0, 0, 0, 0, 0, 0, 1
104, -82.3975040041391, 0.23641266566412, 1, 0, 0, 0, 0, 0, 0, 0, 1
105, -52.0766312719085, 0.1955554299612, 1, 0, 0, 0, 0, 0, 0, 0, 1
106, -18.4072827030076, 0.214035015451868, 1, 0, 0, 0, 0, 0, 0, 0, 1
107, 10.4512795469625, 0.3069066456076, 1, 0, 0, 0, 0, 0, 0, 0, 1
108, 40.3813346342555, 0.633465372381997, 1, 0, 0, 0, 0, 0, 0, 0, 1
109, 56.517560252221, 0.897630356782054, 1, 0, 0, 0, 0, 0, 0, 0, 1
110, 71.7274438520394, 0.998734860018288, 1, 0, 0, 0, 0, 0, 0, 0, 1
111, 174.096393890091, 0.999927965194223, 1, 0, 0, 0, 0, 0, 0, 0, 1
112, -170.485075643533, 0.915435031932259, 1, 0, 0, 0, 0, 0, 0, 0, 1
113, -154.778504693252, 0.666230676096435, 1, 0, 0, 0, 0, 0, 0, 0, 1
114, -128.46810747689, 0.341665799182358, 1, 0, 0, 0, 0, 0, 0, 0, 1
115, -104.897504004139, 0.23641266566412, 1, 0, 0, 0, 0, 0, 0, 0, 1
116, -74.5766312719085, 0.1955554299612, 1, 0, 0, 0, 0, 0, 0, 0, 1
117, -40.9072827030076, 0.214035015451868, 1, 0, 0, 0, 0, 0, 0, 0, 1
118, -12.0487204530375, 0.3069066456076, 1, 0, 0, 0, 0, 0, 0, 0, 1
119, 17.8813346342555, 0.633465372381997, 1, 0, 0, 0, 0, 0, 0, 0, 1
120, 34.017560252221, 0.897630356782054, 1, 0, 0, 0, 0, 0, 0, 0, 1
121, 49.2274438520394, 0.998734860018288, 1, 0, 0, 0, 0, 0, 0, 0, 1
122, 151.596393890091, 0.999927965194223, 1, 0, 0, 0, 0, 0, 0, 0, 1
123, 167.014924356467, 0.915435031932259, 1, 0, 0, 0, 0, 0, 0, 0, 1
124, -177.278504693252, 0.666230676096435, 1, 0, 0, 0, 0, 0, 0, 0, 1
125, -150.96810747689, 0.341665799182358, 1, 0, 0, 0, 0, 0, 0, 0, 1
126, -127.397504004139, 0.23641266566412, 1, 0, 0, 0, 0, 0, 0, 0, 1
127, -97.0766312719085, 0.1955554299612, 1, 0, 0, 0, 0, 0, 0, 0, 1
128, -63.4072827030076, 0.214035015451868, 1, 0, 0, 0, 0, 0, 0, 0, 1
129, -34.5487204530375, 0.3069066456076, 1, 0, 0, 0, 0, 0, 0, 0, 1
130, -4.61866536574455, 0.633465372381997, 1, 0, 0, 0, 0, 0, 0, 0, 1
131, 11.517560252221, 0.897630356782054, 1, 0, 0, 0, 0, 0, 0, 0, 1
132, 26.7274438520394, 0.998734860018288, 1, 0, 0, 0, 0, 0, 0, 0, 1
133, 129.096393890091, 0.999927965194223, 1, 0, 0, 0, 0, 0, 0, 0, 1
